candidate_id	canonical_title	rejection_reason	base_rejection_reason	total_question_count	answerline_question_count	clue_mention_question_count	distinct_set_count	source_counts_json	form_counts_json	answerline_form_counts_json	track_counts_json	literary_signal_count	non_literary_signal_count	adjudication_decision	adjudication_reason	example_snippet
qb_lit_the_divine_comedy_efc86129	The Divine Comedy	rejected_duplicate_title_variant	accepted_likely_work	816	24	792	498	"{""author_verb_title"":37,""byline_title"":2,""quoted_lit_context"":4,""raw_answerline_seed_clue_mention"":792,""raw_answerline_work_prompt"":24,""typed_title"":4}"	"{""answerline_seed"":792,""book"":1,""comedy"":31,""epic"":16,""poem"":11,""work"":12}"	"{""epic"":15,""poem"":5,""work"":4}"	"{""fine_arts"":36,""geography"":6,""history"":3,""literature"":301,""mythology"":4,""other_academic"":296,""pop_culture"":16,""religion"":5,""social_science"":1}"	1213	63	reject	duplicate_title_variant	"4. <Strey> This work's protagonist encounters Saint Bonaventure in the celestial sphere of the sun, and hears believers chanting ""in exitu Israel de Aegypto"". That protagonist rides Geryon and enters the city of Dis earl"
qb_lit_arabian_nights_91633e7b	Arabian Nights	rejected_duplicate_title_variant	accepted_likely_work	577	23	554	345	"{""author_verb_title"":2,""raw_answerline_seed_clue_mention"":554,""raw_answerline_work_prompt"":23}"	"{""answerline_seed"":554,""collection"":22,""story"":1,""tale"":2}"	"{""collection"":22,""story"":1}"	"{""fine_arts"":11,""geography"":2,""literature"":66,""other_academic"":343,""pop_culture"":18,""social_science"":2}"	457	83	reject	duplicate_title_variant	7. One story in this collection tells of a detective attempting to find the murderer of a young woman cut into pieces and thrown in a chest, and the culprit turns out to be his own slave in The Three Apples. In another s
qb_lit_krebs_cycle_7efe8752	Krebs cycle	rejected_science_not_literature	accepted_likely_work	524	23	501	299	"{""raw_answerline_seed_clue_mention"":501,""raw_answerline_work_prompt"":23}"	"{""answerline_seed"":501,""cycle"":23}"	"{""cycle"":23}"	"{""other_academic"":260,""pop_culture"":2,""science"":150}"	2	12	reject	science_not_literature	4. In its first step, acetyl co-A and oxaloacetate combine to form CoA-SH and its namesake compound. For 10 points each: [10] Name this cycle that occurs in the mitochondrial matrix and produces one ATP and three NADH pe
qb_lit_new_york_city_2f685720	New York City	rejected_place_not_work	rejected_non_literary_context	5165	0	5165	1428	"{""byline_title"":4,""clue_derived_seed_clue_mention"":5165,""typed_title"":2}"	"{""clue_derived_seed"":5165,""novel"":3,""story"":2,""unknown"":1}"	{}	"{""current_events"":2,""fine_arts"":357,""geography"":88,""history"":180,""literature"":227,""mythology"":5,""other_academic"":2694,""philosophy"":5,""pop_culture"":597,""religion"":7,""science"":19,""social_science"":44}"	1603	750	reject	place_not_work	ints each: [10] Name this novel in which the title character is whisked away to New York City by George Hurstwood.
qb_lit_african_american_5f65108a	African-American	rejected_descriptor_fragment	accepted_likely_work	4539	0	4539	1302	"{""author_verb_title"":9,""clue_derived_seed_clue_mention"":4539,""typed_title"":2}"	"{""clue_derived_seed"":4539,""play"":2,""poem"":4,""tale"":1,""unknown"":4}"	{}	"{""current_events"":2,""fine_arts"":81,""geography"":115,""history"":112,""literature"":655,""mythology"":13,""other_academic"":2152,""pop_culture"":425,""religion"":15,""science"":12,""social_science"":2}"	2435	748	reject	descriptor_fragment	[10] This first published African-American woman is the author of a poetic tribute to George Whitefield. Her other poems include “To His Excellency, George Washington” and “On Being Brought from Africa to America”.
qb_lit_fear_and_trembling_b7c9d589	Fear and Trembling	rejected_non_literary_context	rejected_non_literary_context	433	18	415	291	"{""author_verb_title"":31,""byline_title"":1,""quoted_lit_context"":1,""raw_answerline_seed_clue_mention"":415,""raw_answerline_work_prompt"":18,""typed_title"":9}"	"{""answerline_seed"":415,""book"":20,""novel"":1,""story"":2,""unknown"":21,""work"":16}"	"{""book"":7,""work"":11}"	"{""geography"":4,""other_academic"":113,""philosophy"":229,""pop_culture"":1,""religion"":17}"	75	157	""	""	"""Journals"", and Kierkegaard later demonstrated it as an existential concept in ""Fear and Trembling"" using the story of Abraham in the Book of Genesis. This philosophy states that any effort by humans to find meaning in t"
qb_lit_peter_and_the_wolf_d26a2680	Peter and the Wolf	rejected_non_literary_context	rejected_non_literary_context	584	9	575	367	"{""author_verb_title"":23,""quoted_lit_context"":1,""raw_answerline_seed_clue_mention"":575,""raw_answerline_work_prompt"":9,""typed_title"":14}"	"{""answerline_seed"":575,""fable"":2,""ode"":1,""play"":3,""story"":2,""tale"":6,""unknown"":21,""work"":12}"	"{""work"":9}"	"{""fine_arts"":342,""geography"":1,""history"":5,""other_academic"":111,""pop_culture"":11}"	172	841	""	""	[10] This man wrote Peter and the Wolf, along with the Scythian and Lieutenant Kije suites.
qb_lit_the_arabian_nights_6700ee38	The Arabian Nights	rejected_duplicate_title_variant	accepted_likely_work	563	9	554	341	"{""author_verb_title"":1,""raw_answerline_seed_clue_mention"":554,""raw_answerline_work_prompt"":9}"	"{""answerline_seed"":554,""book"":1,""collection"":6,""story"":1,""unknown"":1,""work"":1}"	"{""book"":1,""collection"":6,""story"":1,""work"":1}"	"{""fine_arts"":11,""geography"":2,""literature"":66,""other_academic"":336,""pop_culture"":18,""social_science"":2}"	482	87	reject	duplicate_title_variant	6. The first references to this collection describe it as a Persian-language book called the Hazar Afsan. For 10 points each: [10] Name this collection of Middle Eastern stories. In his essay on “The Translators of” this
qb_lit_the_protestant_ethic_and_the_spirit_of_capitalism_e0816958	The Protestant Ethic and the Spirit of Capitalism	rejected_non_literary_context	rejected_non_literary_context	336	11	325	235	"{""author_verb_title"":146,""quoted_lit_context"":2,""raw_answerline_seed_clue_mention"":325,""raw_answerline_work_prompt"":11,""typed_title"":7}"	"{""answerline_seed"":325,""book"":10,""essay"":5,""ode"":3,""unknown"":119,""work"":29}"	"{""book"":1,""essay"":1,""work"":9}"	"{""geography"":2,""other_academic"":79,""social_science"":315}"	40	282	""	""	he title economic system. For 10 points, name this German sociologist who wrote The Protestant Ethic and the Spirit of Capitalism.
qb_lit_the_first_person_9d418edb	The First Person	rejected_philosophy_lecture_not_literature	rejected_non_literary_context	2099	0	2099	950	"{""clue_derived_seed_clue_mention"":2099,""quoted_lit_context"":6}"	"{""book"":2,""clue_derived_seed"":2099,""essay"":3,""work"":1}"	{}	"{""fine_arts"":14,""geography"":28,""history"":48,""literature"":80,""mythology"":10,""other_academic"":1136,""philosophy"":13,""pop_culture"":305,""religion"":25,""science"":65,""social_science"":9}"	734	141	reject	philosophy_lecture_not_literature	"r discusses the nature of the self and is based on a lecture he gave entitled, ""The First Person."" Other important unpublished works by him include a work on the theory of R.G. Collingwood as well as an algebraic proof o"
